mint,creator,rb_verdict,rb_module,rb_detail,goplus_verdict,goplus_flags,ground_truth,ground_truth_detail
23dxgqAtivdW9cZz7UDFAGXUtByz5sXhKRDENdbXpump,26kkWb5WygLsoaPNsA2pYNBWG3TyDAG1ypFeoWL2Nsn3,DANGER,serial_rugger,serial_rug_count=3 funding_hops=0 wash=false,SAFE,[],True,"{""confirmed"": true, ""n_txs"": 13, ""max_hold"": 5271907.456931, ""end_hold"": 0}"
3FpBvhnAJAxjH25WqpYfoUuuB7Dy1UT72Aax4Na5pump,1j5ZeN8MAW2EYDbY5mbVZ7CD3nPfqssK9KeUR9H5Gsb,DANGER,serial_rugger,serial_rug_count=3 funding_hops=0 wash=false,SAFE,[],True,"{""confirmed"": true, ""n_txs"": 62, ""max_hold"": 3520918.746848, ""end_hold"": 0.127072}"
3TByinjHpnNVZsH2miX9DwgTFB7JPm65yzDN2gSqpump,22GaU5EwikZJx3RYzEjtie2Rq9oz15o8rLSs7gZMXNqP,DANGER,funding_hops,serial_rug_count=1 funding_hops=2 wash=false,SAFE,[],True,"{""confirmed"": true, ""n_txs"": 68, ""max_hold"": 20345024.543012, ""end_hold"": 0}"
3ZuZXv2g3TZofEogzM9rwEbVB5i1NwL8TqNCWH2jpump,22GHyTuKjTVwRDJYxbQiCyGJDFfveP78ye1i2HtKQHtG,DANGER,serial_rugger,serial_rug_count=3 funding_hops=0 wash=false,SAFE,[],True,"{""confirmed"": true, ""n_txs"": 313, ""max_hold"": 1457419707.703752, ""end_hold"": 0}"
3n1Zy2pjN1WmKirKP31xvdZNC5QGEtisZpCP8taDpump,244rGsGriCwZ94NZywZuN3LAAkks8V42oAPMpLjQuZa4,DANGER,serial_rugger,serial_rug_count=3 funding_hops=0 wash=false,SAFE,[],True,"{""confirmed"": true, ""n_txs"": 22, ""max_hold"": 153285714.285714, ""end_hold"": 2e-06}"
6ML7tXmHEyESa2Rtj9FzqvQVA5DhsjPh4wpAvGgLpump,23D32H7kAVoZ9fW4PQBm6WaUp3k1sxsLcu6txjqHhd26,DANGER,serial_rugger,serial_rug_count=4 funding_hops=0 wash=false,SAFE,[],True,"{""confirmed"": true, ""n_txs"": 28, ""max_hold"": 7105960.300195, ""end_hold"": 0}"
6vpuYc1JzwsHvdf7gHQDby6o45mqsLe9QsJ5uDzgpump,1jUe2bBBkSWh2wVD3q2xAmWRpjDU4mgYwY3KaPqGBX7,DANGER,serial_rugger,serial_rug_count=3 funding_hops=0 wash=false,SAFE,[],True,"{""confirmed"": true, ""n_txs"": 97, ""max_hold"": 2142050.542025, ""end_hold"": 0}"
74nxamVTxGkqH2P4UCK6qmfBRcTGyKRAUnsDtBKEpump,12SgYu373ViXFMHt7eWL85dbXem8ShHFe37MZkFj8ZYg,DANGER,funding_hops,serial_rug_count=1 funding_hops=1 wash=false,SAFE,[],True,"{""confirmed"": true, ""n_txs"": 16, ""max_hold"": 3565339.235415, ""end_hold"": 0}"
7p7ZMhihbDEoRmjTrriUMpM6jHE1jBhjXFG6iztPpump,22yH41EyeqGVW4CCJMMhAxUn7zhV1ZXaa7ocvWKFxB1i,DANGER,funding_hops,serial_rug_count=1 funding_hops=2 wash=false,SAFE,[],True,"{""confirmed"": true, ""n_txs"": 62, ""max_hold"": 6321152.166396, ""end_hold"": 0}"
AShmQtSBCXX7ygHs9kv1Gkrfw5dqkfAidc9hZpowpump,26VKXZa4cvRq28taPukQxufWZzM6uhu5JVA1tu1aMg1T,DANGER,funding_hops,serial_rug_count=1 funding_hops=1 wash=false,SAFE,[],True,"{""confirmed"": true, ""n_txs"": 58, ""max_hold"": 35765.474484, ""end_hold"": 0}"
AyerU4udx5PF6ueZne2GuhgLDkqqQLuxzVPbS5sppump,27YMYLrDEsMBAWbtsbC8QMv78WgmPxAWhJ2P9SfdAPdt,DANGER,funding_hops,serial_rug_count=1 funding_hops=1 wash=false,SAFE,[],True,"{""confirmed"": true, ""n_txs"": 4, ""max_hold"": 1411145.750589, ""end_hold"": 0}"
BiHqVnZibFk3po2JpTWnpeDy1ryTceQ88x1HM5TEpump,25jZ7EwnKfZo2DZgHM27pbU5Tf54PYG8jc7qNL3gtkxG,DANGER,funding_hops,serial_rug_count=1 funding_hops=1 wash=false,SAFE,[],True,"{""confirmed"": true, ""n_txs"": 1666, ""max_hold"": 153285714.285714, ""end_hold"": 0}"
CHMfiUmZvKwLdjo3nfZHQHp3RrbCBMAuRkkqnGPnpump,23tA8zYuz8Mx5mcAZkb7S3gCF1GpNaGToGo7rn5gpbTR,DANGER,funding_hops,serial_rug_count=1 funding_hops=1 wash=false,SAFE,[],True,"{""confirmed"": true, ""n_txs"": 6991, ""max_hold"": 385034300.765236, ""end_hold"": 3331214.119474}"
CXRhJrBcCk1m83soxiGjY1AwiY6awAxhua6zPZMqpump,126kHRLgCJeGqU8Ye7CkhmqnVxTrgb7dY1DQbgNsLD7x,DANGER,serial_rugger,serial_rug_count=3 funding_hops=0 wash=false,SAFE,[],True,"{""confirmed"": true, ""n_txs"": 12, ""max_hold"": 17376518.16691, ""end_hold"": 0}"
